academy_name,address,phone,status,category,source_name,source_url,checked_date,memo
LEES잉글리쉬아카데미학원,"울산광역시 남구 문수로352번길 10 , 1,2층 (옥동)",052-266-0115,,외국어,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 실용외국어(유아/초·중·고)
과목: 중급1 / 중급2 / 고급1 / 고급2 / 고급3 / 고급4 / 고급5 / 중급3
총정원: 63 / 42 / 20
학습일수: 1개월0일
학습시간: 1955 / 1694 / 1564 / 1607 / 1759 / 1824
교습비: 340,000원 / 380,000원 / 350,000원 / 330,000원 / 360,000원
차량비: 0원
기타경비: 0원
총교습비: 340,000원 / 380,000원 / 350,000원 / 330,000원 / 360,000원
강사수: 10"
MONSTERCLASSIC(몬스터클래식)음악학원,"울산광역시 남구 은월로 3 , 2층 (옥동)",,,예능(중),공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 음악
과목: 피아노A초급 / 피아노B초급 / 피아노A중급 / 피아노B중급 / 피아노A고급 / 피아노B고급 / 클라리넷고급
총정원: 24
학습일수: 1개월0일
학습시간: 1976 / 1472 / 1094 / 1433 / 1581 / 947 / 1577
교습비: 200,000원 / 150,000원 / 140,000원 / 180,000원 / 120,000원
차량비: 0원
기타경비: 0원
총교습비: 200,000원 / 150,000원 / 140,000원 / 180,000원 / 120,000원
강사수: 1"
TOP과학전문학원,"울산광역시 남구 문수로335번길 8 , 4층 (옥동,경남은행(옥서지점))",052-273-1714,,보통교과,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 입시
과목: 고1 과학 / 고2과학 / 고3과학 / 초등과학 / 중등과학(중1) / 중2과학 / 중3 과학
총정원: 20 / 21
학습일수: 1개월0일
학습시간: 1173 / 1210 / 1433 / 1086 / 1097
교습비: 250,000원 / 280,000원 / 300,000원 / 180,000원 / 200,000원 / 210,000원 / 220,000원
차량비: 0원
기타경비: 0원
총교습비: 250,000원 / 280,000원 / 300,000원 / 180,000원 / 200,000원 / 230,000원
강사수: 2"
The(더)플러스수학학원,"울산광역시 남구 대공원입구로21번길 45-1 , 2층일부 (옥동)",052-258-4440,,보통교과 / 진학지도,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 보습 / 진학상담지도
과목: 초등수학 / 중등수학A / 중등수학B / 중등수학C / 고등수학A / 고등수학B / 고등수학C / 고등수학D / 고등수학E / 수리논술 / 고등특강A / 고등특강B / 고등특강C / 고등특강D / 고등특강E / 고등특강F / 고등특강G / 구술수업 / 진학상담지도
총정원: 5 / 10
학습일수: 1개월0일
학습시간: 1837 / 1494 / 1738 / 1998 / 1303 / 1503 / 1955 / 2150 / 1724 / 434 / 651 / 869 / 1077 / 1294 / 1507 / 464
교습비: 300,000원 / 350,000원 / 400,000원 / 450,000원 / 500,000원 / 100,000원 / 150,000원 / 200,000원 / 250,000원
차량비: 0원
기타경비: 0원
총교습비: 300,000원 / 350,000원 / 400,000원 / 450,000원 / 500,000원 / 100,000원 / 150,000원 / 200,000원 / 250,000원
강사수: 3"
TheGrowingEnglish(더그로잉잉글리시)영어교습소,"울산광역시 남구 대공원로115번길 10 , 동덕현대아파트주상가 205호 (옥동,동덕현대아파트)",,,보통교과,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 교습소
교육과정: 보습
과목: 고등영어 / 중등영어 / 초등영어
총정원: 12
학습일수: 1
학습시간: 1912 / 2040 / 1700
교습비: 350,000원 / 300,000원 / 250,000원
차량비: 0원
기타경비: 0원
총교습비: 350,000원 / 300,000원 / 250,000원"
가온누리국어학원,울산광역시 남구 문수로 357 (옥동),,,보통교과,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 보습
과목: 초등1 / 초등2 / 초등3 / 초등4 / 초등5 / 초등6 / 중등1 / 중등2 / 중등3 / 중등4 / 중등5 / 중등6 / 고등1 / 고등2 / 고등3 / 고등4 / 고등5 / 고등6
총정원: 7 / 9
학습일수: 1개월0일
학습시간: 510 / 637 / 765 / 1020 / 1275 / 1530
교습비: 50,000원 / 70,000원 / 100,000원 / 130,000원 / 160,000원 / 190,000원 / 97,000원 / 120,000원 / 140,000원 / 240,000원 / 290,000원 / 110,000원 / 220,000원 / 280,000원 / 330,000원
차량비: 0원
기타경비: 0원
총교습비: 50,000원 / 70,000원 / 100,000원 / 130,000원 / 160,000원 / 190,000원 / 97,000원 / 120,000원 / 140,000원 / 240,000원 / 290,000원 / 110,000원 / 220,000원 / 280,000원 / 330,000원
강사수: 1"
가온수학전문학원,"울산광역시 남구 문수로317번길 4 , (2층) (옥동)",052-227-7060,,보통교과,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 보습
과목: 초등수학1 / 초등수학2 / 중등수학1 / 중등수학2 / 고등수학1 / 고등수학2 / 고등수학3
총정원: 15 / 16 / 10
학습일수: 1개월0일
학습시간: 1529 / 1824 / 1564 / 1651 / 1955 / 1303
교습비: 250,000원 / 290,000원 / 320,000원 / 350,000원 / 400,000원
차량비: 0원
기타경비: 0원
총교습비: 250,000원 / 290,000원 / 320,000원 / 350,000원 / 400,000원
강사수: 1"
갑영어전문학원,"울산광역시 남구 문수로 340 , (6층) (옥동)",070-8841-2880,,보통교과,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 보습
과목: 중등영어 / 고등영어1 / 고등영어2
총정원: 105 / 106
학습일수: 1개월0일
학습시간: 1738 / 1303 / 1433
교습비: 340,000원 / 300,000원 / 320,000원
차량비: 0원
기타경비: 0원
총교습비: 340,000원 / 300,000원 / 320,000원
강사수: 4"
강의하는아이들수학학원,"울산광역시 남구 문수로335번길 8-1 , 3층 (옥동)",052-7105-005,,보통교과,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 보습
과목: 초등수학1 / 초등수학2 / 중등수학1 / 중등수학2 / 고등수학1 / 고등수학2 / 고등수학3
총정원: 26 / 30 / 20
학습일수: 1개월0일
학습시간: 1694 / 1955 / 2085
교습비: 290,000원 / 330,000원 / 400,000원 / 450,000원 / 500,000원
차량비: 0원
기타경비: 0원
총교습비: 290,000원 / 330,000원 / 400,000원 / 450,000원 / 500,000원
강사수: 2"
고려수학전문학원,"울산광역시 남구 문수로392번길 5 , (3층) (옥동)",052-227-1156,,보통교과,공공데이터포털: 울산광역시교육청_학원 및 교습소 종합정보,https://www.data.go.kr/,2026-06-28,"기관구분: 학원
교육과정: 보습
과목: 초등수학 / 중등수학 / 고등수학A / 고등수학B / 고등수학C / 고등수학D / 고등수학E / 고등수학F
총정원: 33 / 30 / 22 / 11
학습일수: 1개월0일
학습시간: 1564 / 1368 / 1303 / 999 / 1086 / 1433 / 1173
교습비: 250,000원 / 270,000원 / 290,000원 / 230,000원 / 310,000원 / 330,000원
차량비: 0원
기타경비: 0원
총교습비: 250,000원 / 270,000원 / 280,000원 / 230,000원 / 300,000원 / 320,000원
강사수: 4"
